Name,Path
Peon,Icons/BTNPeon.webp
Peasant,Icons/BTNPeasant.webp
Altar of Storms,Icons/BTNAltarOfStorms.webp
Troll Headhunter,Icons/BTNHeadhunter.webp
Burrow,Icons/BTNTrollBurrow.webp
War Mill,Icons/BTNForge.webp
Barracks,Icons/BTNBarracks.webp
Farm,Icons/BTNOrcFarm.webp
Blacksmith,Icons/BTNBlacksmith.webp
Stronghold,Icons/BTNStronghold.webp
Watch Tower,Icons/BTNWatchTower.webp
Raider,Icons/BTNRaider.webp
Steel Ranged Weapons,Icons/BTNSteelRanged.webp
Spirit Lodge,Icons/BTNSpiritLodge.webp
Beastiary,Icons/BTNBeastiary.webp
Far Seer,Icons/BTNHeroFarseer.webp
Tauren Chieftain,Icons/BTNHeroTaurenChieftain.webp
Tauren Chieftain: War Stomp,Icons/BTNWarStomp.webp
Tauren Chieftain: Endurance Aura,Icons/EnduranceAura.webp
Kodo Beast,Icons/BTNKotoBeast.webp
Far Seer: Feral Spirit,Icons/BTNSpiritWolf.webp
Troll Regeneration,Icons/BTNRegenerate.webp
Far Seer: Chain Lightning,Icons/BTNChainLightning.webp
Voodoo Lounge,Icons/BTNVoodooLounge.webp
Raider,Icons/BTNRaider.webp
Troll Berserker,Icons/BTNHeadHunterBerserker.webp
Watch Tower,Icons/BTNOrcTower.webp
Steel Unit Armor,Icons/BTNSteelArmor.webp
Scroll of Healing,Icons/BTNScrollOfHealing.webp
Bat Rider,Icons/BTNTrollBatRider.webp
Scroll of Town Portal,Icons/BTNScrollTP.webp
Ensnare,Icons/BTNEnsnare.webp
Orb of Lightning,Icons/BTNOrbOfLightning.webp
Great Hall,Icons/BTNGreatHall.webp
Reinforced Defenses,Icons/BTNReinforcedBurrows.webp
Scroll of Protection,Icons/BTNScrollofProt.webp
Potion of Invulnerability,Icons/BTNLesserInvulneralbility.webp
Berserker Upgrade,Icons/BTNHeadHunterBerserker.webp
Blademaster: Wind Walk,Icons/BTNWindWalkOn.webp
Scroll of Speed,Icons/BTNScrollOfHaste.webp
Grunt,Icons/BTNGrunt.webp
Wisp,Icons/BTNWisp.webp
Altar of Elders,Icons/BTNAltarOfElders.webp
Moon Well,Icons/BTNMoonWell.webp
Ancient of War,Icons/BTNAncientOfTheEarth.webp
Archer,Icons/BTNArcher.webp
Demon Hunter,Icons/BTNHeroDemonHunter.webp
Healing Salves,Icons/BTNHealingSalve.webp
Blademaster,Icons/BTNHeroBlademaster.webp
Demon Hunter: Immolation,Icons/BTNImmolationOn.webp
Circlet of Nobility,Icons/BTNCirclet.webp
Tree of Life,Icons/BTNTreeOfLife.webp
Tree of Ages,Icons/BTNTreeOfAges.webp
Demon Hunter: Evasion,Icons/PASBTNEvasion.webp
Naga,Icons/BTNNagaSeaWitch.webp
Naga: Cold Arrow,Icons/BTNColdArrowsOn.webp
Pillage,Icons/BTNPillage.webp
Dust,Icons/BTNDustOfAppearance.webp
Blademaster: Critical Strike,Icons/PASBTNCriticalStrike.webp
Potion of Healing,Icons/BTNPotionGreenSmall.webp
Huntress Hall,Icons/BTNHuntersHall.webp
Improved Bows,Icons/BTNImprovedBows.webp
Natures Blessings,Icons/BTNNaturesBlessing.webp
Naga: Forked Lightning,Icons/BTNMonsoon.webp
Potion of Invisibility,Icons/BTNLesserInvisibility.webp
Lesser Clarity Potion,Icons/BTNLesserClarityPotion.webp
Moonstone,Icons/BTNMoonStone.webp







